CODIGO,DESCRICAO
400002108,LAT DIR 350X380X15 MDP 2 GRAFITE
400002116,LAT DIR 350X380X15 MDP 2 CINAMOMO
400003021,PRAT 535X380X15 MDP 3 BRANCO AC
400003070,PRAT 535X380X15 MDP 3 PRETO ACETINADO
400003073,PRAT 535X380X15 MDP 3 CUMARU
400003077,PRAT 535X380X15 MDP 3 NATURE
400003108,PRAT 535X380X15 MDP 3 GRAFITE
400003116,PRAT 535X380X15 MDP 3 CINAMOMO
400004021,DIV 350X380X15 MDP 4 BRANCO AC
400004070,DIV 350X380X15 MDP 4 PRETO ACETINADO
400004073,DIV 350X380X15 MDP 4 CUMARU
400004077,DIV 350X380X15 MDP 4 NATURE
400004108,DIV 350X380X15 MDP 4 GRAFITE
400004116,DIV 350X380X15 MDP 4 CINAMOMO
400005021,LAT ESQ 350X380X15 MDP 5 BRANCO AC
400005070,LAT ESQ 350X380X15 MDP 5 PRETO ACETINADO
400005073,LAT ESQ 350X380X15 MDP 5 CUMARU
400005077,LAT ESQ 350X380X15 MDP 5 NATURE
400005108,LAT ESQ 350X380X15 MDP 5 GRAFITE
400005116,LAT ESQ 350X380X15 MDP 5 CINAMOMO
400006021,BASE 900X400X15 MDP 6 BRANCO AC
400006070,BASE 900X400X15 MDP 6 PRETO ACETINADO
400006073,BASE 900X400X15 MDP 6 CUMARU
400006077,BASE 900X400X15 MDP 6 NATURE
400006108,BASE 900X400X15 MDP 6 GRAFITE
400006116,BASE 900X400X15 MDP 6 CINAMOMO
400007006,PORTA BASC 545X235X15 MDP 7 OFF WHITE
400007021,PORTA BASC 545X235X15 MDP 7 BRANCO AC
400007070,PORTA BASC 545X235X15 MDP 7 PRETO ACET
400007073,PORTA BASC 545X235X15 MDP 7 CUMARU
400007077,PORTA BASC 545X235X15 MDP 7 NATURE
400007108,PORTA BASC 545X235X15 MDP 7 GRAFITE
400007116,PORTA BASC 545X235X15 MDP 7 CINAMOMO
400008006,PORTA ESQ 345X320X15 MDP 8 OFF WHITE
400008021,PORTA ESQ 345X320X15 MDP 8 BRANCO AC
